_PaymentID_,_CustomerId_,_ProductId_,_TransactionDate_,_CreditCard_,_CreditCardNumber_,Price,ProductName,CompanyName
3423632,898,10202,2013-01-18T06:05:56,maestro,6761 5113 4098 7827,438.01,Lincoln Industrial 14.4 Volt Powerlube Kit - 2 Battery,Fred's
3423633,811,10003,2013-01-25T10:06:58,visaelectron,4844 9776 6008 3107,447.56,Eclipse 900-206 Helping Hands With Solder Iron Holder - 2.5x,Nustar Energy
3423634,330,10018,2013-01-06T01:57:42,visa,4319 7573 1351 4849,992.27,Buffalo Tools 19 Piece Hole Saw Set,Ross Stores
3423635,151,10121,2013-01-06T04:03:57,maestro,5020 3518 3542 8196,748.05,"Campbell Hausfeld 1/2"" Pneumatic Socket Set",Omnicom Group
3423636,550,10160,2013-01-18T12:58:50,mastercard,5535 7560 4372 2420,819.31,Black And Decker Power Tools Gco.12sfb 12-volt Cordless Drill With Stud Sensor And St,Kb Home
3423638,131,10137,2013-01-22T11:02:31,instapayment,6373 5309 8564 4766,15.51,"Qep Tile Tools 60089 7"" Portable Tile Saw",Dish Network Corporation
3423639,257,10152,2013-01-16T02:12:16,instapayment,6377 4878 3591 4046,926.06,Rockwell Shopseries 18-volt Cordless Drill/driver Kit,Tupperware Corporation
3423640,68,10096,2013-01-27T08:41:19,mastercard,5587 6954 3992 3332,610.22,"Hitachi 18v 1/2"" Cordless Drill/driver Kit W/35-pc Hi-torq Impact Rated Torsion Bit Set",American Family Insurance
3423641,251,10326,2013-01-16T03:31:04,visaelectron,4844 9159 9708 0347,185.52,Skil 4-1/2 Angle Grinders - 4 1/2 Angle Grinder With Metal Front 6 Amp,Foot Locker
3423642,338,10262,2013-01-05T06:22:54,amex,3783 1236 9207 900,90.04,"Superior Tool 2"" Pvc Pipe Cutter",Expedia
3423643,13,10041,2013-01-28T05:20:33,mastercard,5418 6865 2180 1572,352.89,Numax 18 Gauge 2 In 1 Brad Nailer & Stapler,At&t
3423644,838,10164,2013-01-01T05:46:53,visa,4443 4216 4464 5967,545.9,Wagner Ht1000 Heat Tool,Vwr International
3423645,523,10290,2013-01-16T10:55:20,visa,4473 1306 5709 3618,471.05,Wagner 0283022c Ht775 Heat Gun,Southern Company
3423646,13,10233,2013-01-15T06:25:26,amex,3722 2512 8673 285,887.39,Dremel 225-01 Flex Shaft,Urs Corporation
3423647,213,10055,2013-01-20T11:10:59,visaelectron,4026 0309 5923 3197,99.52,Dewalt Power Tools . 38inch Heavy-duty Vsr Pistol Grip Drill With Keyless Chuck Dwd,Avon Products
3423649,497,10078,2013-01-19T12:41:45,amex,3752 0110 0079 673,834.99,Lincoln Industrial Grease Gun Pistol 16 0z W/18whip Hose &rigid Pipe,Nstar Gas & Electric Company
3423650,485,10017,2013-01-12T10:12:34,instapayment,6399 1638 7030 8386,18.18,Surebonder Wide Crown Pneumatic Stapler,Bnsf Railway Company
3423651,466,10296,2013-01-10T03:13:33,maestro,6304 4893 9240 7933,975.67,Campbell Hausfeld Air Compressor Oil - 16 Ounce,Markel Corporation
3423652,720,10000,2013-01-16T04:43:44,instapayment,6393 0164 4920 5713,953.64,Ingersoll Rand 80 Gallon Type-30 Reciprocating Air Compressor,Covanta Holding Corporation
3423656,294,10196,2013-01-28T10:32:33,amex,3401 0661 3922 909,720.51,Hitachi 18 V Ni-cad Cordless Driver Drill,Dell
3423657,560,10265,2013-01-08T08:05:08,visaelectron,4026 3094 3759 1123,315.88,Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit,John Deere Company
3423658,275,10147,2013-01-07T02:57:24,amex,3708 2224 9903 070,676.05,Black & Decker 7.5-amp Reciprocating Saw,Seaboard Foods
3423660,768,10086,2013-01-01T08:29:28,visaelectron,4175 0047 3281 6387,509.13,Hyundai Hpc3010 Air Compressor Kit,Exterran Holdings
3423662,329,10011,2013-01-23T07:53:33,amex,3793 5394 3802 542,668.53,Ingersoll Rand Impact 1/2,Land O'lakes
3423663,889,10245,2013-01-28T11:27:14,maestro,5038 4333 9801 8398,265.61,"Rockwell Shopseries 13 Amp 7 1/4"" Circular Saw",Univision Communications
3423664,307,10273,2013-01-04T04:26:40,mastercard,5232 7877 1421 2975,659.26,Homeright Heat Pro Deluxe Ii Heat Tool,Leggett & Plattorporated
3423666,119,10328,2013-01-25T02:56:58,visa,4411 9110 2169 4230,784.71,Kawasaki Composite Air Hammer Kit,Freeport-mcmoran Copper & Gold
3423668,536,10002,2013-01-19T11:21:54,visa,4059 6738 6527 9281,455.88,12-volt Lith-ion Drill W/ Bonus Case & 150-piece Socket Set,Advance Auto Parts
3423669,984,10211,2013-01-02T09:03:05,maestro,5020 2813 6787 8031,267.36,Primefit 30-piece Air Compressor Accessory Kit,Securian Financial
3423671,822,10288,2013-01-10T10:30:40,mastercard,5170 9610 6641 3663,798.61,"Skil 9295-01 4-1/2"" Angle Grinder",Pvh Corporation
3423672,496,10314,2013-01-24T08:02:59,visaelectron,4175 0047 4317 0857,775.07,"Hitachi Power Tools Fdv16vb2 5/8"" Hammer Drill Vsr",Buckeye Partners
3423673,469,10288,2013-01-29T09:33:26,maestro,6763 6064 1077 1172,798.61,"Skil 9295-01 4-1/2"" Angle Grinder",Pvh Corporation
3423674,66,10130,2013-01-30T07:27:47,instapayment,6375 2533 9902 4511,63.42,Eclipse 900-230 Flux Bottle Pack - 2-pack,The Blackstone Group
3423676,876,10125,2013-01-16T08:48:34,mastercard,5589 2639 2523 0544,195.08,Astro Pneumatic 9707 1/4-inch Drive Mini Gearless Ratchet,Consolidated Edison Company Of New York
3423677,692,10274,2013-01-20T04:21:45,maestro,6759 9114 0385 1205,168.47,Black & Decker Heat Gun,Plexus
3423678,239,10230,2013-01-05T10:13:26,mastercard,5392 6191 8533 4671,550.72,Fry Technologies Cookson Elect Am53945 Flo-temp Lead-free Solid Wire Solder,The Aes Corporation
3423681,604,10048,2013-01-25T09:10:47,mastercard,5552 8722 8307 6399,631.07,Black And Decker Dwdcd780c2 20v Max Lithium Ion Compact Drill Driver Kit,Amerisourcebergen
3423682,833,10322,2013-01-13T01:46:14,maestro,5893 7147 9293 5590,287.22,"Bostitch 18v Lithium 1/2"" Drill/driver Kit And Bonus Drill Bit Set Bundle",West Corporation
3423683,517,10123,2013-01-04T04:10:30,mastercard,5370 1662 0356 2624,520.95,Hitachi 4 Gallon Twin Stack Air Compressor,The Scotts Miracle-gro Company
3423684,192,10168,2013-01-11T02:16:47,maestro,6761 0290 5455 7884,52.34,Fry Technologies Cookson Elect Am32406 General Purpose Acid Core Solder,Constellation Brands
3423685,562,10080,2013-01-14T02:40:30,amex,3700 1150 3204 504,191.29,Titan 16048 48 Piece Quick-disconnect Drill And Power Bit Set With Portable Bit Cases,Ugi Corporation
3423686,386,10143,2013-01-29T07:06:11,mastercard,5175 1161 9138 6491,547.47,"Bosch Cs5 7-1/4"" 15-amp Circular Saw",Charles Schwab Corporation
3423687,960,10129,2013-01-11T01:48:27,instapayment,6395 4010 3828 6001,656.77,Primefit Industrial-grade Retractable Air Hose Reel With 50 Rubber Air Hose,Bmc Software
3423688,215,10042,2013-01-19T01:08:48,visa,4139 0157 9760 5320,304.27,Ingersoll Rand 0.5 Port Ptfe Diaphragm Pump With Polypropylene Seat,Group
3423689,86,10194,2013-01-26T08:41:27,mastercard,5546 8056 6180 9758,125.46,Audiopipe Thsy3075c Pipeman Train Horn Air Compressor,T. Rowe Price
3423690,642,10324,2013-01-24T01:25:14,visaelectron,4508 1342 3818 2279,336.79,Ingersoll Rand 285b-6 Heavy-duty 1-inch Impact Wrench With 6-inch Anvil,Avnet
3423693,314,10206,2013-01-20T04:20:55,visa,4217 9920 7865 0388,958.28,Dremel 7300-n/5 4.8v Minimite Cordless Rotary Tool,Cytec Industries
3423694,949,10012,2013-01-23T12:46:16,maestro,6763 0010 4561 4155,221.31,Dewalt Power Tools 18 Volt Compact Lithium Ion Drill Driver & Impact Driver Comb,Henry Schein
3423695,728,10041,2013-01-09T04:00:47,instapayment,6384 9252 4764 8976,352.89,Numax 18 Gauge 2 In 1 Brad Nailer & Stapler,At&t
3423696,976,10226,2013-01-23T05:58:52,visa,4950 7910 4361 3948,63.14,Eclipse Dp-366d Desoldering Pump,Stryker Corporation
3423699,346,10162,2013-01-11T12:14:09,amex,3490 6234 5541 619,899.62,Stalwart Flexible Drive Shaft,Centerpoint Energy
3423700,57,10309,2013-01-11T09:39:08,maestro,6304 7527 5985 1476,703.04,Fpc Corporation Hot Melt Glue Sticks Fprdt20,Paccar
3423701,577,10159,2013-01-07T11:58:04,instapayment,6371 2120 3756 9687,627.86,Century Drill And Tool Phillips Power Screwdriving Bit Set,United Technologies Corporation
3423703,928,10308,2013-01-05T04:56:57,visaelectron,4508 7129 8742 8744,855.27,Eclipse 900-015 Helping Hands Soldering Aid,Casey's General Stores
3423704,198,10018,2013-01-17T03:47:31,visa,4055 2998 4002 7456,992.27,Buffalo Tools 19 Piece Hole Saw Set,Ross Stores
3423705,557,10154,2013-01-24T04:52:00,visaelectron,4913 3788 9297 1605,402.12,Legacy Mfg 3/8 X 100 Flex Air Hose Yellow,Kellogg Company
3423706,362,10272,2013-01-04T06:59:21,instapayment,6372 6168 7715 9764,83.12,Boa Grabit Screw Extractor,Tutor Perini Corporation
3423707,762,10012,2013-01-18T06:33:02,amex,3756 6585 5235 427,221.31,Dewalt Power Tools 18 Volt Compact Lithium Ion Drill Driver & Impact Driver Comb,Henry Schein
3423708,337,10218,2013-01-24T07:21:25,amex,3462 1183 8406 268,576.31,"Skil 6277-02 3/8"" Corded Drill",Cinemark Usa
3423709,772,10266,2013-01-08T01:58:33,mastercard,5464 7896 7572 1472,859.31,"Electric Glue Skillet 7""",National Life Group
3423710,60,10065,2013-01-08T02:19:16,instapayment,6380 1953 5709 5871,279.05,"Dremel Sm520 3"" Masonry Cut-off Wheel",Moog
3423711,792,10330,2013-01-23T07:43:37,maestro,5020 0338 9648 2045,476.78,Ingersoll Rand Hammer Pin,Applied Industrial Technologies
3423713,500,10228,2013-01-07T11:56:02,amex,3787 6898 3719 473,963.63,Atd Tools 8294 Arbor For Cutoff Discs Mandrel,Thermo Fisher Scientific
3423714,917,10088,2013-01-17T02:01:30,amex,3483 0670 3014 839,80.58,Legacy Manufacturing Leghfz3850yw2 Flexzilla 3/8in X 50yd Yellow Air Hose With 1/4 Inch Mnpt Ends,Zimmer Holdings
3423715,955,10150,2013-01-27T12:16:29,instapayment,6371 3642 6254 5765,311.97,Gmc Power Equipment 1.6 Gallon Gmc Syclone 1650a Ultra Quiet And Oil-free Air Compressor,Group
3423717,724,10240,2013-01-02T08:04:28,visaelectron,4844 1454 1459 1474,993.81,Dremel 709-01 110 Pc Super Accessory Kit,Gm Financial
3423719,112,10125,2013-01-03T02:15:55,instapayment,6398 9971 9517 8656,195.08,Astro Pneumatic 9707 1/4-inch Drive Mini Gearless Ratchet,Consolidated Edison Company Of New York
3423720,560,10321,2013-01-18T02:29:50,visa,4694 1596 8815 2955,919.14,"Rockwell Shopseries 4-1/2"" Angle Grinder",Sra International
3423721,556,10311,2013-01-13T01:31:03,visa,4996 2657 5789 5138,897.63,Hitachi 18v Cordless Compact Pro Driver Drill With Flashlight,O'reilly Automotive
3423722,73,10201,2013-01-03T03:05:20,visaelectron,4026 9353 2701 1671,228.76,Sharpe Manufacturing 6765-1 Replacement Dessicant Beads - 5 Lb.,Sonic Automotive
3423723,619,10199,2013-01-29T08:11:51,mastercard,5478 9457 9103 3341,409.42,Buffalo Tools Sportsman Work Table,Supermedia
3423724,376,10138,2013-01-12T02:26:37,maestro,6759 8401 7325 4003,842.87,Ridgid Tube Cutter Wheels - F158 10-15-20 Thin Whl (set Of 12),Supermedia
3423727,797,10310,2013-01-15T02:39:10,instapayment,6391 1726 1887 4995,583.19,Pro-lift W-1010a 10-gallon Air Tank,Baker Hughesorporated
3423728,369,10347,2013-01-13T09:17:32,visa,4172 3653 9179 8999,376.82,Hitachi 18v Lithium Ion Driver Drill,Duke Energy Corporation
3423731,820,10252,2013-01-15T10:02:39,maestro,5020 8119 7205 5730,305.09,Shark Sr062-10 Ammco Style 10 Pack Negative Rake Bits,Citrix Systems
3423732,114,10150,2013-01-10T10:28:10,maestro,5038 1351 0889 3438,311.97,Gmc Power Equipment 1.6 Gallon Gmc Syclone 1650a Ultra Quiet And Oil-free Air Compressor,Group
3423733,95,10165,2013-01-14T07:20:00,maestro,6761 7316 6383 8668,214.08,"Hitachi 18v 1/2"" Cordless Drill/driver Kit",Piedmont Natural Gas Company
3423734,639,10309,2013-01-22T06:43:22,instapayment,6384 1672 3025 8097,703.04,Fpc Corporation Hot Melt Glue Sticks Fprdt20,Paccar
3423736,200,10001,2013-01-29T10:07:08,visaelectron,4917 8950 7292 4084,661.87,"Great Neck Saw Ra38 3/8"" Drive Forward And Reverse Ratchet",Wesco Distribution
3423737,18,10123,2013-01-06T11:10:32,visaelectron,4508 3583 2759 9735,520.95,Hitachi 4 Gallon Twin Stack Air Compressor,The Scotts Miracle-gro Company
3423738,436,10261,2013-01-04T03:03:29,amex,3772 9221 7553 989,739.85,Alton 2 Gallon Pancake Air Compressor,General Growth Properties
3423739,43,10025,2013-01-15T05:01:07,mastercard,5187 6210 7004 8910,152.86,Ingersoll Rand 705-93 Trigger,Hawaiian Electric Industries
3423741,81,10142,2013-01-02T01:02:22,amex,3793 9842 7830 972,11.84,Lumberjack Tools Tac1500 1-1/2-inch Commercial Series Tenon Cutter,Burlington Coat Factory Corporation
3423743,869,10021,2013-01-30T05:39:05,amex,3455 6933 6748 171,58.5,"Bosch 6335-01 7 Amp 1/2"" Corded Drill",Comcast Corporation
3423744,607,10195,2013-01-27T11:45:09,visaelectron,4844 1458 9861 3091,43.8,Hitachi 17 Piece Split Point Black Oxide Shield Drill Bit Set,Priceline.com
3423745,781,10138,2013-01-30T10:18:46,visa,4723 2086 6051 0220,842.87,Ridgid Tube Cutter Wheels - F158 10-15-20 Thin Whl (set Of 12),Supermedia
3423746,483,10252,2013-01-19T05:00:39,mastercard,5187 6883 9077 6090,305.09,Shark Sr062-10 Ammco Style 10 Pack Negative Rake Bits,Citrix Systems
3423748,310,10333,2013-01-10T11:03:54,visaelectron,4026 0316 8495 1608,41.07,"Black & Decker 15a 7.25"" Fatmax Circular Saw",Rockwell Collins
3423749,359,10200,2013-01-23T07:42:46,mastercard,5131 1127 0278 3436,505.95,California Air Tools 6.3 Gallon Ultra Quiet And Oil-free 1.0 Hp Steel Tank Air Compressor,National Oilwell Varco
3423750,176,10118,2013-01-09T11:15:04,instapayment,6389 9031 1849 1417,10.44,"Hitachi 3 1/2"" Full-head Plastic Collated Framing Strip Nailer",Werner Enterprises
3423751,748,10118,2013-01-29T06:46:10,maestro,5038 9858 6390 4980,10.44,"Hitachi 3 1/2"" Full-head Plastic Collated Framing Strip Nailer",Werner Enterprises
3423752,453,10212,2013-01-21T03:44:41,visaelectron,4913 0253 5152 3944,827.21,Great Neck Saw 17612 Soldering Iron,Bucyrus International
3423753,136,10247,2013-01-15T04:16:57,amex,3739 3648 2925 660,600.41,Labor Saving Devices 60/40 Solder Roll,Resolute Forest Products
3423754,487,10197,2013-01-09T05:02:28,visaelectron,4844 7907 1920 3364,356.06,Campbell Hausfeld Exteme Duty 3/8 Air Ratchet,Abercrombie & Fitch Co
3423755,53,10081,2013-01-28T05:20:15,mastercard,5460 9920 3785 9378,289.8,Kd Tools Engraver Electric Vibro,Global Payments
3423756,261,10347,2013-01-14T03:04:35,mastercard,5113 0929 0969 9050,376.82,Hitachi 18v Lithium Ion Driver Drill,Duke Energy Corporation
3423757,876,10081,2013-01-12T06:47:19,instapayment,6372 4063 4679 2068,289.8,Kd Tools Engraver Electric Vibro,Global Payments
3423758,789,10274,2013-01-30T04:53:58,mastercard,5565 0742 7431 5804,168.47,Black & Decker Heat Gun,Plexus
3423759,132,10138,2013-01-26T07:01:05,visa,4246 9260 2882 9861,842.87,Ridgid Tube Cutter Wheels - F158 10-15-20 Thin Whl (set Of 12),Supermedia
3423760,640,10330,2013-01-15T12:08:41,maestro,5020 4276 9954 4821,476.78,Ingersoll Rand Hammer Pin,Applied Industrial Technologies
3423761,58,10175,2013-01-27T04:49:22,visaelectron,4175 0039 8359 3646,533.95,Bosch 7292-02 2 Amp 1/4 Sheet Palm Sander,Fluor Corporation
3423762,255,10292,2013-01-23T11:10:39,amex,3721 1613 2214 416,358.68,Century Drill And Tool Jig Saw Blade (set Of 5) (set Of 5),Acuity Brands
3423766,843,10145,2013-01-03T04:51:24,maestro,5018 5935 0872 0219,196.87,Masterflow 12v High Volume Air Compressor / Inflator,Wesco Distribution
3423767,61,10119,2013-01-02T12:36:17,maestro,5020 7448 3026 5987,491.2,Mayhew Tools Mayhew Tools - Catspaw Deck Wrecker Cats Paw Deck Wrecker: 479-41104 - Cats Paw Deck Wr,Henry Schein
3423769,594,10303,2013-01-09T08:31:17,maestro,6759 6712 0426 6546,587.78,Bosch 2240-01 12 Volt Cordless Drill And Driver,Pharmerica Corporation
3423771,827,10044,2013-01-22T02:39:43,instapayment,6376 5698 9432 5668,371.24,California Air Tools 1.6 Gallon Ultra Quiet And Oil-free 1.0 Hp Aluminum Tank Air Compressor,American Tower Corporation
3423772,559,10347,2013-01-21T08:14:44,maestro,5893 6349 6652 3487,376.82,Hitachi 18v Lithium Ion Driver Drill,Duke Energy Corporation
3423775,158,10078,2013-01-17T07:24:31,mastercard,5544 6855 2123 2371,834.99,Lincoln Industrial Grease Gun Pistol 16 0z W/18whip Hose &rigid Pipe,Nstar Gas & Electric Company
3423776,940,10218,2013-01-10T10:48:59,visa,4728 7516 6397 4823,576.31,"Skil 6277-02 3/8"" Corded Drill",Cinemark Usa
3423777,699,10082,2013-01-19T09:40:44,maestro,6304 8038 5197 0506,668.42,Skil Fixed Base Routers - 1 3/4 Hp Fixed Base Router 9 Amp Motor,Cliffs Natural Resources
3423779,731,10055,2013-01-14T08:25:09,maestro,6304 5382 5836 9338,99.52,Dewalt Power Tools . 38inch Heavy-duty Vsr Pistol Grip Drill With Keyless Chuck Dwd,Avon Products
3423780,673,10255,2013-01-21T05:18:55,amex,3786 4320 1675 361,5.33,Ingersoll Rand Ring / Gasket Kit For Ss5 Electric Units,Southwest Gas Corporation
3423782,915,10144,2013-01-14T07:23:51,visaelectron,4508 2254 0781 7057,832.22,Weller Sp40l Lightweight Soldering Iron,Agilent Technologies
3423783,220,10175,2013-01-25T02:40:32,visaelectron,4844 4590 7311 6923,533.95,Bosch 7292-02 2 Amp 1/4 Sheet Palm Sander,Fluor Corporation
3423784,79,10254,2013-01-20T12:18:40,maestro,6761 3593 4276 5365,300.73,Bosch Pr20evsk Colt Variable Speed Palm Router Kit,Goldman Sachs
3423787,599,10265,2013-01-05T09:23:18,maestro,5020 7098 8266 3611,315.88,Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit,John Deere Company
3423788,268,10326,2013-01-18T11:02:24,visa,4515 5456 9576 5762,185.52,Skil 4-1/2 Angle Grinders - 4 1/2 Angle Grinder With Metal Front 6 Amp,Foot Locker
3423789,815,10143,2013-01-16T07:17:45,visa,4367 5841 0023 4725,547.47,"Bosch Cs5 7-1/4"" 15-amp Circular Saw",Charles Schwab Corporation
3423791,683,10047,2013-01-25T03:07:41,maestro,6763 2294 8496 9257,876.15,Atd Tools Atd-10836 3. 6-volt Cordless Rechargeable Screwdriver Kit,Yum! Brands
3423792,795,10119,2013-01-30T09:38:51,mastercard,5522 5373 9988 8873,491.2,Mayhew Tools Mayhew Tools - Catspaw Deck Wrecker Cats Paw Deck Wrecker: 479-41104 - Cats Paw Deck Wr,Henry Schein
3423793,438,10121,2013-01-14T03:44:03,visaelectron,4913 3948 7412 8916,748.05,"Campbell Hausfeld 1/2"" Pneumatic Socket Set",Omnicom Group
3423794,972,10007,2013-01-30T10:34:50,maestro,5018 3636 1262 3265,976.95,Makita Mklxt311fh 18 Volt Drill And Impact Kit,Cummins
3423795,377,10252,2013-01-14T04:59:08,mastercard,5518 4603 2564 1736,305.09,Shark Sr062-10 Ammco Style 10 Pack Negative Rake Bits,Citrix Systems
3423796,811,10152,2013-01-18T04:42:31,visaelectron,4917 3943 8475 0171,926.06,Rockwell Shopseries 18-volt Cordless Drill/driver Kit,Tupperware Corporation
3423797,593,10263,2013-01-04T01:31:23,maestro,6304 6311 4535 7325,622.13,Hitachi 12v Peak Li-ion 2 Speed Drill/driver,Enersys
3423798,615,10176,2013-01-18T08:37:45,amex,3465 2158 7591 312,667.74,Multi-temp Hybrid Cordless Glue Gun,Cabot Corporation
3423800,782,10192,2013-01-15T07:25:06,visa,4021 2993 0874 3033,346.79,Vermont American 7 To 7-1/4 Masonry Circular Saw Blades 28052,Casey's General Stores
3423801,934,10333,2013-01-21T04:02:36,amex,3738 2729 8566 741,41.07,"Black & Decker 15a 7.25"" Fatmax Circular Saw",Rockwell Collins
3423802,717,10347,2013-01-04T05:55:43,maestro,5893 4314 0769 7982,376.82,Hitachi 18v Lithium Ion Driver Drill,Duke Energy Corporation
3423804,127,10271,2013-01-01T06:07:28,instapayment,6375 8625 7026 5634,236.8,Prevost Isc 061201 Safety Coupler 1/4 In M Style,Nationwide Insurance Company
3423805,930,10005,2013-01-11T06:09:19,maestro,5038 3919 2133 2506,319.65,Vim Products 12mm Triple Square Bit,Martin Marietta Materials
3423806,556,10024,2013-01-28T06:02:13,maestro,6763 3665 7903 4009,514.6,Campbell Hausfeld Brad Nailer And Stapler,Con-way
3423807,561,10018,2013-01-25T06:09:27,maestro,5893 0318 1021 8119,992.27,Buffalo Tools 19 Piece Hole Saw Set,Ross Stores
3423808,341,10138,2013-01-07T11:15:59,mastercard,5413 5374 1768 0320,842.87,Ridgid Tube Cutter Wheels - F158 10-15-20 Thin Whl (set Of 12),Supermedia
3423809,821,10055,2013-01-19T02:59:24,visa,4931 3336 9485 0737,99.52,Dewalt Power Tools . 38inch Heavy-duty Vsr Pistol Grip Drill With Keyless Chuck Dwd,Avon Products
3423810,209,10237,2013-01-18T12:53:51,visaelectron,4844 8857 4093 1890,228.25,Comstar 10-100 Copper Lock No-heat Solder - 2 Oz.,Covanta Holding Corporation
3423813,873,10342,2013-01-05T06:04:01,visa,4411 2542 0442 1760,869.77,Numax 3-in-1 Flooring Nailer,Hormel Foods Corporation
3423815,279,10283,2013-01-15T12:11:08,instapayment,6371 5240 1402 6238,742.51,Ultra Steel 4-piece 18v Cordless Power Tool Kit,Cerner Corporation
3423817,310,10004,2013-01-29T09:32:08,maestro,5020 9714 0946 9258,99.3,"Rockwell Shopseries 7 Amp 1/2"" Hammer Drill",W. R. Berkley Corporation
3423818,298,10279,2013-01-07T12:32:14,visaelectron,4917 2157 4123 5384,674.76,Lumberjack Tools Trh2000 2in Home Series Tenon Cutter,Omnicom Group
3423822,485,10310,2013-01-05T04:28:53,amex,3460 1124 6357 479,583.19,Pro-lift W-1010a 10-gallon Air Tank,Baker Hughesorporated
3423823,972,10205,2013-01-15T10:51:56,visa,4095 6711 8293 5649,997.68,Wagan 3-in-1 275 Psi Air Compressor,Charming Shoppes
3423824,846,10058,2013-01-25T11:01:11,visa,4277 0556 6043 3097,824.26,Western Enterprises 1/4 Npt X 3 Long Male Brass Regulator Nipple Cga 540,Cigna Corporation
3423825,819,10190,2013-01-22T03:27:56,visaelectron,4026 1054 9752 5542,272.0,Ingersoll Rand Avc10-183a Rivet Set Retainer Q-c,Expedia
3423826,508,10134,2013-01-08T08:43:55,visaelectron,4844 3967 0690 6983,28.95,Wilmar Electric Impact Gun Set 1/2 Dr,Teleflexorporated
3423827,209,10134,2013-01-12T09:05:06,maestro,6762 1675 5580 2448,28.95,Wilmar Electric Impact Gun Set 1/2 Dr,Teleflexorporated
3423828,895,10105,2013-01-22T09:05:57,maestro,6304 6146 6413 1115,267.23,"Great Neck Saw Ra14 1/4"" Drive Forward And Reverse Ratchet",Aleris International
3423829,749,10010,2013-01-18T10:22:53,maestro,6762 8933 3856 2757,718.72,Powerbuilt Soldering Gun Kit,Dr Pepper Snapple Group
3423830,285,10315,2013-01-11T05:41:35,instapayment,6393 8475 1585 8195,253.49,Gmc Power Equipment 1.6 Gallon Gmc Syclone 1675a Ultra Quiet And Oil-free Air Compressor,Sonic Automotive
3423831,406,10024,2013-01-14T04:07:37,maestro,6762 2410 1226 8616,514.6,Campbell Hausfeld Brad Nailer And Stapler,Con-way
3423832,455,10041,2013-01-17T06:28:06,amex,3440 6889 4988 916,352.89,Numax 18 Gauge 2 In 1 Brad Nailer & Stapler,At&t
3423833,242,10048,2013-01-14T03:06:15,mastercard,5509 8782 9062 2798,631.07,Black And Decker Dwdcd780c2 20v Max Lithium Ion Compact Drill Driver Kit,Amerisourcebergen
3423834,772,10183,2013-01-06T05:09:34,maestro,6761 7727 9738 6935,487.61,Radnor #7326 1/4 Id Brass Hose Ferrule,Mdu Resources Group
